Allentown PA-NJ,Med,1998,580,62,268,3720,4860,12.17,65.76,1.06,1.20,,,,8017,53,14,27,15694,53,33,47,1.16,37,1.18,50,,,524,54,925,36
Allentown PA-NJ,Med,1999,590,62,276,3800,5040,12.43,66.76,1.11,1.19,,,,8243,53,15,26,16136,53,33,53,1.17,37,1.19,48,,,527,55,930,42
Allentown PA-NJ,Med,2000,600,62,284,3920,5210,12.85,70.47,1.51,1.57,,,,8667,53,15,33,16967,53,34,50,1.18,37,1.20,46,,,536,54,946,42
Allentown PA-NJ,Med,2001,605,62,290,4050,5250,13.22,71.38,1.54,1.59,,,,8639,54,15,40,16910,54,33,59,1.17,39,1.19,51,,,520,54,917,52
Allentown PA-NJ,Med,2002,610,62,296,4200,5280,13.43,70.86,1.36,1.43,,,,8672,54,15,49,16976,55,33,61,1.17,43,1.19,54,,,514,55,906,60
Allentown PA-NJ,Med,2003,615,62,302,4600,5300,13.73,72.23,1.51,1.59,,,,8404,55,15,52,16450,59,31,77,1.17,46,1.19,53,,,487,59,859,71
Allentown PA-NJ,Med,2004,620,61,306,4870,5350,14.10,74.17,1.94,2.03,,,,8484,56,15,59,16607,61,31,81,1.17,48,1.19,55,,,478,59,844,73
Allentown PA-NJ,Med,2005,620,62,308,5085,5425,14.58,78.05,2.28,2.58,,,,8588,59,15,65,16811,62,32,81,1.17,51,1.19,58,,,468,61,827,76
Allentown PA-NJ,Med,2006,620,64,310,4950,5445,15.06,80.43,2.68,2.93,,,,8594,61,15,67,16823,63,31,84,1.17,55,1.19,59,,,454,63,801,77
Allentown PA-NJ,Med,2007,625,63,314,4935,5630,15.47,82.56,2.87,3.56,,,,8631,61,15,72,16896,63,31,84,1.17,58,1.19,63,,,444,65,783,79
Allentown PA-NJ,Med,2008,625,63,316,4780,5475,16.10,81.52,3.42,4.41,,,,8303,65,15,74,16254,67,30,85,1.16,68,1.18,72,,,411,67,725,85
Allentown PA-NJ,Med,2009,635,64,322,4850,5400,16.01,89.75,2.33,2.73,,,,8112,64,14,77,15880,66,29,86,1.16,56,1.18,62,,,403,66,711,82
Allentown PA-NJ,Med,2010,640,63,326,5080,5382,16.30,88.12,2.78,3.12,,,,8432,64,15,71,16506,65,30,85,1.17,48,1.19,58,,,412,65,727,82
Allentown PA-NJ,Med,2011,645,63,330,5096,5399,16.79,86.81,3.41,3.79,,,,8527,65,15,74,16691,65,30,86,1.17,48,1.19,60,,,404,65,713,83
